Level,Position,Skills,Professional Experience,Current Employer Type,Number of Employees,Workplace,Salary Range
Senior,FullStack Developer,"Android (Java or Kotlin), iOS (Swift or Objective C), PHP, Java, JS | HTML | CSS",5 - 7 Years,Corporate Company,10 - 25 Employees,Other,110.000 - 120.000 MZN
Senior,Mobile Software Developer,"Android (Java or Kotlin), Java",1 - 3 Years,Corporate Company,1 - 10 Employees,Maputo (Cidade),50.000 - 60.000 MZN
Junior,Mobile Software Developer,"PHP, Java, JS | HTML | CSS, SQL",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Junior,FullStack Developer,"Android (Java or Kotlin), PHP, Bash, .Net, Java, JS | HTML | CSS, SQL",3 - 5 Years,Corporate Company,10 - 25 Employees,Maputo,20.000 - 30.000 MZN
Senior,Mobile Software Developer,iOS (Swift or Objective C),3 - 5 Years,Startup,10 - 25 Employees,Maputo (Cidade),30.000 - 40.000 MZN
Junior,Mobile Software Developer,iOS (Swift or Objective C),1 - 3 Years,Startup,10 - 25 Employees,Maputo (Cidade),70.000 - 80.000 MZN
Junior,FullStack Developer,"PHP, JS | HTML | CSS, SQL",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Senior,Front-end Developer,"PHP, JS | HTML | CSS, SQL",3 - 5 Years,Corporate Company,10 - 25 Employees,Maputo (Cidade),50.000 - 60.000 MZN
Intern,Front-end Developer,Java,1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),30.000 - 40.000 MZN
Senior,FullStack Developer,"PHP, Java, JS | HTML | CSS, SQL",1 - 3 Years,Startup,,Maputo (Cidade),10.000 - 20.000 MZN
Senior,Mobile Software Developer,"Android (Java or Kotlin), PHP, Bash, .Net, Java, JS | HTML | CSS, SQL",3 - 5 Years,Corporate Company,100+ Employees,Maputo (Cidade),40.000 - 50.000 MZN
Junior,FullStack Developer,"Java, SQL",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Intern,Front-end Developer,JS | HTML | CSS,None,Corporate Company,25 - 50 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Junior,FullStack Developer,"Android (Java or Kotlin), PHP, Bash, C / C++, .Net, Java, JS | HTML | CSS, SQL",1 - 3 Years,Consultant,1 - 10 Employees,Maputo (Cidade),20.000 - 30.000 MZN
Senior,FullStack Developer,".Net, Cross Platform (Ionic, React, Xamarin, etc), SQL",7 - 10 Years,Corporate Company,100+ Employees,Maputo (Cidade),
Senior,FullStack Developer,".Net, Cross Platform (Ionic, React, Xamarin, etc), SQL",7 - 10 Years,Corporate Company,100+ Employees,Maputo (Cidade),
Intern,FullStack Developer,"PHP, Python, JS | HTML | CSS, Cross Platform (Ionic, React, Xamarin, etc), SQL",1 - 3 Years,Startup,1 - 10 Employees,Maputo,10.000 - 20.000 MZN
Intern,Embedded Software Developer,"Android (Java or Kotlin), C / C++, Java, SQL",None,Government,25 - 50 Employees,Maputo (Cidade),20.000 - 30.000 MZN
Intern,FullStack Developer,"Android (Java or Kotlin), PHP, C / C++, Java, JS | HTML | CSS, Cross Platform (Ionic, React, Xamarin, etc), SQL",1 - 3 Years,,,Maputo (Cidade),10.000 - 20.000 MZN
Junior,Back-end Developer,"Android (Java or Kotlin), Python, C / C++, Java, Unity",1 - 3 Years,Corporate Company,25 - 50 Employees,Maputo (Cidade),40.000 - 50.000 MZN
Junior,Back-end Developer,"Android (Java or Kotlin), iOS (Swift or Objective C), PHP, C / C++, Java, JS | HTML | CSS, SQL",3 - 5 Years,Outsource,1 - 10 Employees,Maputo (Cidade),20.000 - 30.000 MZN
Junior,Mobile Software Developer,iOS (Swift or Objective C),1 - 3 Years,Startup,10 - 25 Employees,Maputo (Cidade),70.000 - 80.000 MZN
Junior,FullStack Developer,"Android (Java or Kotlin), PHP, Java, JS | HTML | CSS, SQL",1 - 3 Years,Corporate Company,1 - 10 Employees,Maputo (Cidade),
Junior,Front-end Developer,Android (Java or Kotlin),1 - 3 Years,Corporate Company,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Senior,Software Tester,"Android (Java or Kotlin), PHP, .Net, Java, SQL",3 - 5 Years,Consultant,100+ Employees,Maputo (Cidade),40.000 - 50.000 MZN
Junior,Front-end Developer,JS | HTML | CSS,1 - 3 Years,Outsource,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Intern,Back-end Developer,JS | HTML | CSS,None,,,Maputo (Cidade),
Junior,FullStack Developer,"PHP, .Net, Java, JS | HTML | CSS, SQL",1 - 3 Years,Corporate Company,100+ Employees,Maputo (Cidade),40.000 - 50.000 MZN
Intern,Embedded Software Developer,".Net, SQL",1 - 3 Years,Consultant,25 - 50 Employees,Maputo (Cidade),30.000 - 40.000 MZN
Senior,Back-end Developer,"PHP, Java, JS | HTML | CSS, SQL",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),
Junior,Front-end Developer,"Cross Platform (Ionic, React, Xamarin, etc)",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Senior,Back-end Developer,"Java, JS | HTML | CSS",3 - 5 Years,Consultant,25 - 50 Employees,Maputo,130.000 - 140.000 MZN
Junior,Front-end Developer,"Cross Platform (Ionic, React, Xamarin, etc)",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Senior,FullStack Developer,"Android (Java or Kotlin), PHP, Java, JS | HTML | CSS, SQL",3 - 5 Years,Consultant,25 - 50 Employees,Maputo (Cidade),90.000 - 100.000 MZN
Junior,Front-end Developer,"Cross Platform (Ionic, React, Xamarin, etc)",1 - 3 Years,Startup,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Intern,Front-end Developer,JS | HTML | CSS,1 - 3 Years,Consultant,1 - 10 Employees,Maputo (Cidade),10.000 - 20.000 MZN
Junior,FullStack Developer,"Android (Java or Kotlin), PHP, JS | HTML | CSS, SQL",1 - 3 Years,Government,100+ Employees,Maputo (Cidade),50.000 - 60.000 MZN
