Cargo ou Posição ,Anos de experiência,Nível mais alto de educação,Faixa Salarial (Mensal e Líquido),Tipo de empresa,Indústria,Sexo
Director de Arte,2 - 3 anos,Ensino Médio (12a classe),"36, 000 - 55, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,0 - 1 ano,Ensino Médio (12a classe),"6, 000 - 10, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,4 - 5 anos,Ensino Médio (Técnico),"21, 000 - 25, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Design Multimédia ,6 - 10 anos,Ensino Médio (Técnico),"11, 000 - 20, 000 MT",Funcionário Público ,Multimédia ,Masculino
Web Desginer,0 - 1 ano,Ensino Médio (12a classe),"11, 000 - 20, 000 MT",Privada,"Publicidade, marketing e relações públicas",Masculino
Copywriter,2 - 3 anos,Licenciatura,"26, 000 - 35, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,4 - 5 anos,Ensino Médio (12a classe),"36, 000 - 55, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Fotógrafo,2 - 3 anos,Ensino Médio (12a classe),"21, 000 - 25, 000 MT",Agência de publicidade,Produção de Vídeo e filmes,Masculino
Desginer,4 - 5 anos,Licenciatura,"26, 000 - 35, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Copywriter,2 - 3 anos,Licenciatura,"26, 000 - 35, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,2 - 3 anos,Ensino Médio (12a classe),"11, 000 - 20, 000 MT",Privada,Produção de TV,Masculino
Director de Arte,6 - 10 anos,Ensino Médio (Técnico),"36, 000 - 55, 000 MT",Privada,"Publicidade, marketing e relações públicas",Masculino
Director de Arte,6 - 10 anos,Ensino Médio (12a classe),"71, 000 - 90, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,2 - 3 anos,Ensino Médio (12a classe),"6, 000 - 10, 000 MT",Privada,"Publicidade, marketing e relações públicas",Feminino
Desginer,6 - 10 anos,Ensino Médio (12a classe),"11, 000 - 20, 000 MT",Freelancer,"Publicidade, marketing e relações públicas",Masculino
Multimidia,6 - 10 anos,Ensino Médio (Técnico),"11, 000 - 20, 000 MT",Estado,Investigação ,Masculino
Director de Arte,2 - 3 anos,Ensino Médio (12a classe),"36, 000 - 55, 000 MT",Agência de publicidade,"Publicidade, marketing e relações públicas",Masculino
Desginer,6 - 10 anos,Ensino Médio (12a classe),"36, 000 - 55, 000 MT",Freelancer,"Publicidade, marketing e relações públicas",Masculino
